,Beta_w,r_b,weight
532,1.303180295,1.623787051,0.000455181
533,5.459381244,1.484902417,0.001231674
534,1.28564243,1.692404021,0.000610517
535,6.569187249,1.365740636,0.000857888
536,1.555224491,1.391516237,0.000304126
537,5.45236335,1.357748182,0.001020446
538,1.327174448,1.560331447,0.000344952
539,1.53811261,1.548132378,0.000409604
540,1.392876822,1.501196885,0.000514085
541,1.519711667,1.339743299,0.000344662
542,3.922333055,1.568426704,0.001164187
543,1.409840963,1.534794034,0.00034277
544,1.476422138,1.498903745,0.000353886
545,1.472848382,1.574197118,0.000314443
546,9.055992923,1.32412256,0.001054193
547,8.882605465,1.459335451,0.001720073
548,7.686514393,1.438506379,0.000816595
549,1.368431515,1.775893039,0.000369421
550,1.389348462,1.4489632,0.000307231
551,8.574738964,1.384061402,0.001149429
552,1.563929517,1.551996639,0.000560228
553,1.476569112,1.428901707,0.000457887
554,1.283402577,1.860709779,0.001952961
555,1.36969092,1.754791228,0.000521826
556,8.742195822,1.36516427,0.001194784
557,1.511851962,1.440136918,0.000291241
558,1.289436376,1.731515349,0.001766316
559,1.31766781,1.76162918,0.000720694
560,5.743258274,1.449822588,0.000814775
561,1.608809083,1.434806251,0.000277392
562,2.192462886,1.359649229,0.000562979
563,1.414369195,1.724920328,0.000339516
564,1.299804267,1.872445122,0.00051552
565,1.439899771,1.592120595,0.000303058
566,1.378797984,1.536305275,0.000308176
567,1.69826134,1.42416577,0.0004173
568,2.573432957,1.316827447,0.000449109
569,8.557648048,1.258481658,0.003018925
570,8.209775159,1.561534526,0.000752892
571,4.972949673,1.473710203,0.000781618
572,9.449268102,1.538519224,0.00127568
573,1.478459592,1.412485226,0.00106191
574,1.632356806,1.46731743,0.000298994
575,1.38365132,1.748720761,0.000376675
576,7.122896104,1.51114512,0.000952828
577,1.916378338,1.474599658,0.000510638
578,2.030896633,1.432944454,0.000467934
579,1.359892013,1.754784822,0.000591383
580,1.34211617,1.625243425,0.000523543
581,1.328638205,1.791681821,0.000488814
582,1.243868912,1.681561162,0.000870245
583,1.507580522,1.436445651,0.000262111
584,1.304375366,1.799505036,0.00042732
585,1.454865583,1.465213983,0.000574125
586,7.43224845,1.377911323,0.000655467
587,1.502140919,1.526683556,0.000341732
588,1.767916049,1.384695976,0.000347279
589,1.475462535,1.527967712,0.000344053
590,1.487927452,1.599850334,0.00063786
591,1.52616493,1.397503891,0.000309951
592,1.615455771,1.557679924,0.000265468
593,1.294597491,1.688023687,0.000437676
594,1.508608959,1.526870045,0.000482873
595,1.36615797,1.585946401,0.000417726
596,2.165921391,1.36730943,0.000679854
597,4.844989098,1.422548077,0.001347222
598,1.304010778,1.775917707,0.000625213
599,3.768516677,1.253953947,0.002212381
600,1.516011683,1.548384628,0.000370058
601,1.589085488,1.31719085,0.000450993
602,1.312278474,1.504610233,0.000412072
603,1.414437809,1.54809296,0.000462362
604,5.515508585,1.393027298,0.001233509
605,1.555513966,1.383765244,0.000684462
606,6.562816977,1.466122437,0.001014521
607,1.605413554,1.461755805,0.000501014
608,1.453262287,1.619821486,0.000454098
609,1.403718278,1.521119504,0.00053325
610,9.633981278,1.282415975,0.001922933
611,1.436954457,1.769731036,0.000390993
612,1.262469641,1.657430111,0.000386083
613,1.231034075,2.13013453,0.00185906
614,1.363890774,1.551252809,0.000342001
615,4.830516744,1.479046512,0.001400179
616,1.508497872,1.520046839,0.00027311
617,1.544090891,1.528274841,0.000425015
618,1.329171432,1.572388015,0.000591248
619,1.375166238,1.458332211,0.000332431
620,1.484675253,1.621410934,0.000382046
621,1.546329255,1.542033937,0.000303993
622,7.868155192,1.4087423,0.000658731
